Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345076.06485889">wfid_1562345076.06485889</a>,342,LiO4PV,<a href="https://materialsproject.org/materials/mp-765022/">mp-765022</a>,<a href="https://materialsproject.org/materials/mp-761338/">mp-761338</a>,33,60,0.1,-0.001,0.074,2.667
<a href="candidate.html?wfid=wfid_1562345076.32521814">wfid_1562345076.32521814</a>,167,Cl4Rb2Zn,<a href="https://materialsproject.org/materials/mp-616185/">mp-616185</a>,<a href="https://materialsproject.org/materials/mp-608314/">mp-608314</a>,33,62,0.3,-0.000,0.114,4.449
<a href="candidate.html?wfid=wfid_1562345076.84195890">wfid_1562345076.84195890</a>,172,ClH3O5,<a href="https://materialsproject.org/materials/mp-625175/">mp-625175</a>,<a href="https://materialsproject.org/materials/mp-625148/">mp-625148</a>,33,62,5.2,0.047,1.187,5.384
<a href="candidate.html?wfid=wfid_1562345077.01048358">wfid_1562345077.01048358</a>,173,ClH4NO4,<a href="https://materialsproject.org/materials/mp-698084/">mp-698084</a>,<a href="https://materialsproject.org/materials/mp-706586/">mp-706586</a>,33,62,2.2,-0.001,0.902,5.267
<a href="candidate.html?wfid=wfid_1562345077.14704718">wfid_1562345077.14704718</a>,292,H8N2O4S,<a href="https://materialsproject.org/materials/mp-24468/">mp-24468</a>,<a href="https://materialsproject.org/materials/mp-23876/">mp-23876</a>,33,62,0.0,0.007,1.267,5.073
<a href="candidate.html?wfid=wfid_1562345077.57898854">wfid_1562345077.57898854</a>,188,CrO3,<a href="https://materialsproject.org/materials/mp-779941/">mp-779941</a>,<a href="https://materialsproject.org/materials/mp-779986/">mp-779986</a>,33,62,0.4,0.021,1.412,1.575
<a href="candidate.html?wfid=wfid_1562345077.72055408">wfid_1562345077.72055408</a>,210,Er2F7K,<a href="https://materialsproject.org/materials/mp-27925/">mp-27925</a>,<a href="https://materialsproject.org/materials/mp-558238/">mp-558238</a>,33,62,1.5,-0.000,0.184,6.943
<a href="candidate.html?wfid=wfid_1562345077.98674939">wfid_1562345077.98674939</a>,122,CN2Pb,<a href="https://materialsproject.org/materials/mp-619032/">mp-619032</a>,<a href="https://materialsproject.org/materials/mp-19727/">mp-19727</a>,33,62,10.5,-0.003,0.195,1.853
<a href="candidate.html?wfid=wfid_1562345078.17038961">wfid_1562345078.17038961</a>,147,CdO3Ti,<a href="https://materialsproject.org/materials/mp-5052/">mp-5052</a>,<a href="https://materialsproject.org/materials/mp-14550/">mp-14550</a>,33,62,34.8,0.004,0.148,2.415
<a href="candidate.html?wfid=wfid_1562345078.25607094">wfid_1562345078.25607094</a>,91,BiInO3,<a href="https://materialsproject.org/materials/mp-556892/">mp-556892</a>,<a href="https://materialsproject.org/materials/mp-561102/">mp-561102</a>,33,62,64.7,0.011,1.405,2.774
<a href="candidate.html?wfid=wfid_1562345078.33658421">wfid_1562345078.33658421</a>,366,NbO5P,<a href="https://materialsproject.org/materials/mp-556918/">mp-556918</a>,<a href="https://materialsproject.org/materials/mp-5803/">mp-5803</a>,33,62,4.0,-0.001,0.159,2.258
<a href="candidate.html?wfid=wfid_1562345078.54041242">wfid_1562345078.54041242</a>,196,CsO4PZn,<a href="https://materialsproject.org/materials/mp-559752/">mp-559752</a>,<a href="https://materialsproject.org/materials/mp-18673/">mp-18673</a>,33,62,1.0,0.012,0.678,3.966
<a href="candidate.html?wfid=wfid_1562345078.78578590">wfid_1562345078.78578590</a>,358,N6Pb,<a href="https://materialsproject.org/materials/mp-620058/">mp-620058</a>,<a href="https://materialsproject.org/materials/mp-667338/">mp-667338</a>,33,62,0.4,-0.000,0.228,2.292
<a href="candidate.html?wfid=wfid_1562345079.80563577">wfid_1562345079.80563577</a>,20,Al2CaH4O10Si2,<a href="https://materialsproject.org/materials/mp-24603/">mp-24603</a>,<a href="https://materialsproject.org/materials/mp-733653/">mp-733653</a>,33,63,4.2,0.005,0.753,5.051
<a href="candidate.html?wfid=wfid_1562345080.19562594">wfid_1562345080.19562594</a>,174,ClIn,<a href="https://materialsproject.org/materials/mp-571636/">mp-571636</a>,<a href="https://materialsproject.org/materials/mp-571555/">mp-571555</a>,36,63,3.8,-0.000,0.039,1.419
<a href="candidate.html?wfid=wfid_1562345080.72611869">wfid_1562345080.72611869</a>,4,Ag2O4W,<a href="https://materialsproject.org/materials/mp-637188/">mp-637188</a>,<a href="https://materialsproject.org/materials/mp-504466/">mp-504466</a>,34,58,1.0,-0.003,0.391,1.799
<a href="candidate.html?wfid=wfid_1562345080.93250415">wfid_1562345080.93250415</a>,9,Ag2S,<a href="https://materialsproject.org/materials/mp-32669/">mp-32669</a>,<a href="https://materialsproject.org/materials/mp-36216/">mp-36216</a>,36,63,0.4,0.003,0.142,1.376
<a href="candidate.html?wfid=wfid_1562345080.99369532">wfid_1562345080.99369532</a>,407,O7Sr2Ta2,<a href="https://materialsproject.org/materials/mp-13664/">mp-13664</a>,<a href="https://materialsproject.org/materials/mp-12286/">mp-12286</a>,36,63,3.0,-0.000,0.088,2.928
<a href="candidate.html?wfid=wfid_1562345081.30847872">wfid_1562345081.30847872</a>,194,Cs2O3Pb,<a href="https://materialsproject.org/materials/mp-21521/">mp-21521</a>,<a href="https://materialsproject.org/materials/mp-21283/">mp-21283</a>,36,63,7.2,0.000,0.287,1.404
<a href="candidate.html?wfid=wfid_1562345081.78625138">wfid_1562345081.78625138</a>,277,H2O4U,<a href="https://materialsproject.org/materials/mp-626885/">mp-626885</a>,<a href="https://materialsproject.org/materials/mp-626876/">mp-626876</a>,36,64,2.9,0.095,1.415,1.850
<a href="candidate.html?wfid=wfid_1562345081.92745142">wfid_1562345081.92745142</a>,1,Ag10Br3Te4,<a href="https://materialsproject.org/materials/mp-568386/">mp-568386</a>,<a href="https://materialsproject.org/materials/mp-568392/">mp-568392</a>,36,63,3.9,-0.002,0.717,0.868
<a href="candidate.html?wfid=wfid_1562345082.41349074">wfid_1562345082.41349074</a>,383,O2Si,<a href="https://materialsproject.org/materials/mp-16964/">mp-16964</a>,<a href="https://materialsproject.org/materials/mp-560826/">mp-560826</a>,36,63,0.2,0.004,0.688,5.667
