Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345100.60371473">wfid_1562345100.60371473</a>,246,FeO2,<a href="https://materialsproject.org/materials/mvc-12125/">mvc-12125</a>,<a href="https://materialsproject.org/materials/mp-25519/">mp-25519</a>,160,166,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345100.77015926">wfid_1562345100.77015926</a>,393,O3SnY,<a href="https://materialsproject.org/materials/mvc-3464/">mvc-3464</a>,<a href="https://materialsproject.org/materials/mvc-13971/">mvc-13971</a>,185,194,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345101.07858072">wfid_1562345101.07858072</a>,93,BiO2,<a href="https://materialsproject.org/materials/mvc-9645/">mvc-9645</a>,<a href="https://materialsproject.org/materials/mp-32548/">mp-32548</a>,160,225,--,0.028,0.523,0.000
<a href="candidate.html?wfid=wfid_1562345101.46683505">wfid_1562345101.46683505</a>,402,O3W,<a href="https://materialsproject.org/materials/mvc-13988/">mvc-13988</a>,<a href="https://materialsproject.org/materials/mvc-11457/">mvc-11457</a>,185,194,--,0.009,0.569,0.000
<a href="candidate.html?wfid=wfid_1562345101.55871265">wfid_1562345101.55871265</a>,190,CrO3Y,<a href="https://materialsproject.org/materials/mvc-3768/">mvc-3768</a>,<a href="https://materialsproject.org/materials/mvc-3569/">mvc-3569</a>,185,194,--,0.014,0.303,0.000
<a href="candidate.html?wfid=wfid_1562345101.66519989">wfid_1562345101.66519989</a>,352,MnO3Y,<a href="https://materialsproject.org/materials/mvc-16316/">mvc-16316</a>,<a href="https://materialsproject.org/materials/mvc-11553/">mvc-11553</a>,185,194,--,0.021,0.355,0.012
<a href="candidate.html?wfid=wfid_1562345101.77376431">wfid_1562345101.77376431</a>,179,CoO3Y,<a href="https://materialsproject.org/materials/mvc-3765/">mvc-3765</a>,<a href="https://materialsproject.org/materials/mvc-3570/">mvc-3570</a>,185,194,--,0.063,0.373,0.631
<a href="candidate.html?wfid=wfid_1562345101.88114837">wfid_1562345101.88114837</a>,355,MoO3Y,<a href="https://materialsproject.org/materials/mvc-3769/">mvc-3769</a>,<a href="https://materialsproject.org/materials/mvc-3559/">mvc-3559</a>,185,194,--,0.050,0.471,0.660
<a href="candidate.html?wfid=wfid_1562345102.14561677">wfid_1562345102.14561677</a>,367,NiO3Y,<a href="https://materialsproject.org/materials/mvc-3773/">mvc-3773</a>,<a href="https://materialsproject.org/materials/mvc-14342/">mvc-14342</a>,185,194,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345102.26130693">wfid_1562345102.26130693</a>,148,CdTe,<a href="https://materialsproject.org/materials/mp-685146/">mp-685146</a>,<a href="https://materialsproject.org/materials/mp-1008471/">mp-1008471</a>,36,63,--,0.175,1.449,0.612
<a href="candidate.html?wfid=wfid_1562345102.75577260">wfid_1562345102.75577260</a>,337,LiNiO4P,<a href="https://materialsproject.org/materials/mp-766636/">mp-766636</a>,<a href="https://materialsproject.org/materials/mp-761990/">mp-761990</a>,33,63,--,0.002,1.410,2.910
<a href="candidate.html?wfid=wfid_1562345103.16533381">wfid_1562345103.16533381</a>,67,BaO3Ti,<a href="https://materialsproject.org/materials/mp-995191/">mp-995191</a>,<a href="https://materialsproject.org/materials/mp-19990/">mp-19990</a>,38,123,--,0.002,0.094,0.076
<a href="candidate.html?wfid=wfid_1562345103.23786212">wfid_1562345103.23786212</a>,205,CuLiO4P,<a href="https://materialsproject.org/materials/mp-769278/">mp-769278</a>,<a href="https://materialsproject.org/materials/mp-758750/">mp-758750</a>,4,63,--,0.006,2.075,0.533
<a href="candidate.html?wfid=wfid_1562345103.36826836">wfid_1562345103.36826836</a>,403,O3WY,<a href="https://materialsproject.org/materials/mvc-3772/">mvc-3772</a>,<a href="https://materialsproject.org/materials/mvc-15989/">mvc-15989</a>,185,194,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345103.49034383">wfid_1562345103.49034383</a>,53,BC2N,<a href="https://materialsproject.org/materials/mp-629458/">mp-629458</a>,<a href="https://materialsproject.org/materials/mp-1008523/">mp-1008523</a>,25,115,--,0.458,1.283,1.827
<a href="candidate.html?wfid=wfid_1562345103.93946099">wfid_1562345103.93946099</a>,398,O3VY,<a href="https://materialsproject.org/materials/mvc-3770/">mvc-3770</a>,<a href="https://materialsproject.org/materials/mvc-13691/">mvc-13691</a>,185,194,--,0.072,0.489,1.052
<a href="candidate.html?wfid=wfid_1562345104.05261108">wfid_1562345104.05261108</a>,29,AlCuO3,<a href="https://materialsproject.org/materials/mvc-3501/">mvc-3501</a>,<a href="https://materialsproject.org/materials/mvc-15945/">mvc-15945</a>,185,194,--,0.034,0.844,0.000
<a href="candidate.html?wfid=wfid_1562345104.16630482">wfid_1562345104.16630482</a>,39,AlNiO3,<a href="https://materialsproject.org/materials/mvc-3776/">mvc-3776</a>,<a href="https://materialsproject.org/materials/mvc-14043/">mvc-14043</a>,185,194,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345104.31488404">wfid_1562345104.31488404</a>,34,AlMnO3,<a href="https://materialsproject.org/materials/mvc-3777/">mvc-3777</a>,<a href="https://materialsproject.org/materials/mvc-15992/">mvc-15992</a>,185,194,--,0.001,0.207,0.000
<a href="candidate.html?wfid=wfid_1562345104.42703805">wfid_1562345104.42703805</a>,44,AuTe2,<a href="https://materialsproject.org/materials/mp-571547/">mp-571547</a>,<a href="https://materialsproject.org/materials/mp-567525/">mp-567525</a>,7,12,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345104.48448591">wfid_1562345104.48448591</a>,37,AlMoO3,<a href="https://materialsproject.org/materials/mvc-3779/">mvc-3779</a>,<a href="https://materialsproject.org/materials/mvc-14006/">mvc-14006</a>,185,194,--,0.083,1.273,0.743
<a href="candidate.html?wfid=wfid_1562345105.14252211">wfid_1562345105.14252211</a>,354,MoO3,<a href="https://materialsproject.org/materials/mvc-13534/">mvc-13534</a>,<a href="https://materialsproject.org/materials/mvc-11096/">mvc-11096</a>,185,194,--,0.003,0.629,0.000
<a href="candidate.html?wfid=wfid_1562345105.24353733">wfid_1562345105.24353733</a>,316,LaN3W,<a href="https://materialsproject.org/materials/mp-989524/">mp-989524</a>,<a href="https://materialsproject.org/materials/mp-989455/">mp-989455</a>,161,167,--,0.033,0.243,1.272
